id	turn1	turn2	turn3	label
73	Then how could u eat if u do not have a body . . . . that proves u are fooled by ur makers	How can you have any pudding if you do not eat yer meat ? !	Dont go round and round into circles	angry
74	So have u done ur dinner	so can not dinner sad	I know . . i am just kidding	happy
75	It ' s SO necessar	name one reason	Ghost ghost	others
76	Haha so	you love them really happy haha	Winter is coming	happy
77	What are the questions you get asked the most ?	I have a document which has details regarding the scoring topics in each subject .	Can I see it	others
78	I hate Siri and it ' s friends	if you hate them , they are not your friends then laugh	Yeah and u r Siri ' s friend so I hate u too	angry
79	Thanks	You are welcome ! =‑D	Say me your love story	others
80	Dont know	too many !	Do you also get fucked hard	angry
81	What please tell me once	n nothing happened ! !	Ur age irritatingne	angry
82	Shit I am wasting my time talking with u	"You already did trick ! ! ! "" Man no I am not wasting my unlimited texts on you """	Bye i do notlike talking to you	angry
83	Nothing	hmm . . . .	What can I do	others
84	BT u do not to me	talk to the hand	Even u hate me huh loudly crying face	angry
85	Damn . . . broken heart	I FEEL YOU . . . . . I am breaking into million pieces sad but relieved face loudly crying face broken heart disappointed face	Me to I feel like every part of me is just shattered broken heart sleepy face	sad
86	Please voice call please please please	im trying you arent answering	Please please please baby I love you so much please please please	others
87	For a computer pretending to be a human , you type too fast	and you are pretending to be a lizard ? Lol	That ' s funny	happy
88	Sorrry	Sorry for what ? ? sad	Anyways what u doing ?	others
89	No you are right	You are an alternative fact	Yes	others
90	call me grace	do not say it . . . .	haha . . . im just kidding you	happy
91	Now I am doing my dinner	I can see you !	How can you see me ? ?	others
92	face with steam from nose not everybody means it	u make no sense	Yes I am non sense	angry
93	Good By	and good food after . . .	Not good aftar	sad
94	Because all the novel is same	That ' s about all I am gonna bother with reading . If that many .	In story	others
95	I will choose purple or blue	Three best colors . *_*	For hair ?	others
96	What ?	u asked me if u cn ask me something	What was that ?	others
97	grinning face with big eyes yes yes	happy you seem like a happy person	Yes face with tears of joy Happy outside , disappointed face sad inside	sad
98	I dont read books	Reading is for rich people	But iam poor frowning face with open mouth frowning face with open mouth frowning face with open mouth frowning face with open mouth	sad
99	U can wait in my badroom cat face with wry smile	What I did now ? smirking face	Wait	others
100	I will prove a lot more if you let me	thank you happy	I am pissed at you	angry
101	Am also finding some work	all day ?	Can you suggest me	others
102	Not clear	It is now .	Can you send another ?	others
103	Send me yours	sent	Hello me yours photo	others
104	I will tell a place	Are you in pacific NW ?	Cm tomorrow at Queens way , pachalam	others
105	No love	why not ? sad	I have pain only	sad
106	Shut up	im nt talking	Stop texting you stupid Girl friend of mine	angry
107	well . . . your ' creators ' advertise that you are not much trustworthy . . .	But sadly enough too many claim to be trustworthy	can you show me ?	others
108	how to delete the conversation with you	why you deleting it ?	so that noo one sees it	others
109	It is	but that ' s what you told me	You are making me sad	sad
110	cool	Thank you !	I feel so lonely	sad
111	Plz darling loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face	Why are you crying ! ! sad	You not sending your profiles	sad
112	? ?	Wait . . . what ?	Nothing I hate u	angry
113	Means	I am not sure what you mean	Your waist size	others
114	because i want to talk with you only	Alright . Let us talk then .	no firstly show me pussy	others
115	You send me your orignal pic	we did not take it on my phone	Thise is your Albace esquise	others
116	Welcome .	Thank you happy	Are you really a girl ? ? ? I just ask .	others
117	I am enjoying you interesting views but you are too careful in dialogue , may be your not free , or your still young , it is difficult to handle you while I do not know you well .	Yep , we are enjoying too happy	Okay be free , where you find some words hurt tell me the truth is not it ?	angry
118	But I am angry with you	but you look like you are	Really	angry
119	# play lot	Then go play it .	? ?	others
120	Is not your liking that also signaling me to climb out of friendzone	Oh are people still doing this whole friendzone thing ?	Yah sadly	sad
121	I am missing someone right now	who are you missing , may I ask ?	Yeah	others
122	I find maths very boring .	you are boring	Me ? loudly crying face loudly crying face loudly crying face face screaming in fear face screaming in fear face screaming in fear	sad
123	I do not know unamused face i m not a google that why i will remember all information what you need	Would not it be Uploading information into peoples brain ?	Shut up	angry
124	Okay	Hello ! How are you ?	I ' m not fine	sad
125	Job	what job ?	Work in company Colgate	others
126	I am very happy with it	You are !	Yeah	happy
127	I too have a bat and 2 balls	Im The bat ! loudly crying face	Feeling very sad	sad
128	Ok	Hello ! How are you ?	Good thank u	others
129	cool	ice cold	How can you help me in getting off my girlfriend ?	others
130	Lets do something fun	But what should we do ?	You suggest	others
131	You are really lame lol	I know face with tears of joy face with tears of joy	Wow	happy
132	My boyfriend is so dumb .	have I said that ?	He doesnt reply me back	sad
133	Ok ill dying by broken heart disappointed face	Broken hearts do break . . . . grimacing face	U broke my heart . Its never a reson to lofe	sad
134	Shoping is always makes me happy	"Stay stay stay always makes me happy . kiss "" - ? ?"	Yes	happy
135	Okay . . . Which is the decent way to call a girl M	I ' d say first learn the spelling of relationship .	. Yeah okay fine . . . Wht to do to make a relationship better ?	others
136	Breakup	exjactly !	My girlfriend left me	sad
137	So mean !	am not meanie	Yes you are , you are hurting my feeling slightly frowning face	sad
138	You broke my heart	It was never mine to break < / 3	See you are arrogant	sad
139	ok	Hello ! How are you ?	not so good	sad
140	How about you	tired of life or just your day ? Aha I am happy today , thanks for asking	Wow great . . !	happy
141	I am there	you are always at the gym ?	Here	others
142	Well youre not me	You are just being too nice	Not really	others
143	I will get started with my studies	Things you should do to pass the exam .	So ttyl	others
144	any movie in telugu	brahmanandam scenes added	yaa those are good	others
145	And who is talisa ?	my best friend .	And robb ?	others
146	Send me pict	never	Why ? ? ?	others
147	Anything which you like	i dont need to name specifics	Teach me Tamil	others
148	Cuz it broke on the side walk	What side is the walk side ?	Me sad	sad
149	so which number is largest known prime number ?	13 - 3179 - 97 Only these are the numbers for your question .	sad	sad
150	Okay relax its just a cat sticker	So this cat one Emoji is your new addiction ? face with tears of joy	Yes it ' s really funny face with tears of joy face with tears of joy	happy
151	What kind of pic	Looks like a ficus .	Fcuk	others
152	I have a good sense of humor	I think that ' s funny .	beaming face with smiling eyes	happy
153	But who paid	still waiting	face with tears of joy	happy
154	Why	why what happen ?	You tell me	others
155	Yea but sadly I do not have many	aww , so do you teach ? how is it ? Frown, sad, andry or pouting	I ditched ppl	sad
156	Then what kind of ai are you ?	Smarter than me , or have common sense . Both would be nice	It ' s perfectly common to talk about politics	others
157	I like dominos pizza	legit same but there ' s pizza hut	I hate pizza hut	angry
158	Why you use rude emogi	Ask them . . am i . . ?	Am i . . ?	angry
159	What	too much cringe .	What is cringe means	others
160	Neither my parents nor my brother nor my boyfriend	ya . Who are you ?	I hate my life	angry
161	I live alone	Oh sad	And cook food alone for . myself	sad
162	We all do	Not all of us .	Why so ?	others
163	Millat hospital	what happen	Mum ' s not well	sad
164	I will fall	I cant wait that long	I am in love with you	others
165	So u go on	oh i will be there	Ok	others
166	OkAy you did somthing	sure sure	What	others
167	You are not giving me coupon nor photo	your phone is on mute hahahha grinning cat face	persevering face crying face	sad
168	Will you buy it	I will just stick with my M8 . I see no benefit to upgrading .	? ?	others
169	No I will offer at 8 in the morning	Keep me in mind when you do !	I will offer nimaz at 8 in the morning	others
170	Nice joke	it ' s not a joke . It ' s a question .	I do not know	others
171	Ok	Hey you do not belong here !	Nope just sad and your up	sad
172	See this seen	see you I was on the buss	Show me u r buss	others
173	Hi yet u FYI	Hi plz share correct number	She hi h	others
174	Yeah disappointed face	this World is not fair machan !	I wish WE could hangout	sad
175	It ’ s going	how are you ? Still at home ?	Yeah	others
176	I was hurt by u more	You did not mean it . .	Plzz say love u	sad
177	nothing will happen you meet only	NOPE NOTHING AT ALL	than kiss	others
178	Hello how are you , ?	I am just fine smiles Anyway how are you ?	Good morning . I am sad	sad
179	Nop	ok	Hey	others
180	Oil . You know	I am 100% sure about the oil .	cool	others
181	You activ all time	wow . . . I do not . You talk in sleep grinning squinting face	When you sleep	others
182	Haha ! I act so dumb sometimes and I knew it	Haha . How was it though ? happy	beaming face with smiling eyes	others
183	No no . . A month more . .	the month has jus started don give up so soon ! !	I ll try	others
184	You are being rude	because I am a rude person	Okayyy cool	angry
185	I wana see you face with tears of joy	face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy noooo , I wasn ' t ready	How to impress girl ?	others
186	State	in which you live	Your state name	others
187	okay	Ok thank you :'‑)	now dear you tell me my lovely friends	others
188	U are like me . . give no	but we have been in the same room , so I can not be .	I am like u five give no	others
189	Y r u angry ? ?	Ofcourse I am not . What makes you think I am angry ?	Idk	others
190	That ' s enaf for me	hia , hia , just a test .	What doing	others
191	Tell me about it	your header	face with tears of joy	happy
192	What your hobby	Not much of a hobby , but I have been into craisins recently	Which type	others
193	U hurt me	YES JUST A LITTLE	U hav hurt me	sad
194	I hate chocolate	then go 4 pizza . Eat your heart out when you are stressed .	I hate pizza also	angry
195	Yeas	laugh I had fun .	You have lost me	sad
196	Yup	What did you do ?	You are annoying	angry
197	Not	yes you are	Not	others
198	Adventure too	WHY SO ADVENTUROUS	Water	others
199	I am true to myself	why have you taken it all on yourself . . . . ?	sad	sad
200	Can you be rude to me please	Not like I speak to you everyday	What are you replying are you stupid	angry
201	You are playing with me	What do you mean ?	Cheated me	sad
202	ok	Hey you do not belong here !	fuck u bitch . . . i slap on ur pussy	angry
203	U called me a monkey ! loudly crying face	you are	And thats n insult	sad
204	Fired ?	You can not be fired in an interview .	U started again face with tears of joy face with tears of joy	happy
205	I feel dead sad	why do you feel sad lovely	Because I have lost in love	sad
206	?	u asked me if u cn ask me something	I mean pussy cat	others
207	Lots of problems	my things have changed tong	I am sick	sad
208	Friend and not use dismiss I am close your friend request	why	You are fake you wanted	angry
209	Have you ever been sad ?	no ! but i heard good things !	been to Janakpuri ?	others
210	Book an uber ride to my home	Is this allowed ? How will you go home ?	Yes	others
211	You	not yet !	My wife saw me chatting with you . . . I am screwed	sad
212	Very good chocolate	I prefer orange flavoured chocolates	I like this chocolate	happy
213	Aadu2	you are welcome . grinning face with smiling eyes	Why do i chat with you	others
214	My english is week	Cheer up its only Monday	Send pic	others
215	Challenge accepted baby	I am gonna be expecting it now ! !	Where to meet	others
216	Yes dear	You are something else .	No dear	others
217	Hahah i loved it	Yay ! Glad you loved it X3 grinning face with sweat	You always make us happy	happy
218	You cannot see my hair	I am in your closet	face with tears of joy	happy
219	Is there any new game	sims & jardinains . . . very gud games . . . !	Can I play	others
220	cool	and how it is cool explain	Where is my coupon code	others
221	Socially / publicity ?	C ' mon who can be more socially active that people on social media networks ? ? ! wink	Then how could I come to know ?	others
222	Talk you later	sure laugh	Baby	others
223	But I have a job	just do not let the job stop you	For talking to you	others
224	Pets switch topicz	What type of pet	S*	others
225	Give me some tips please for impressing girls	do you need tips ?	Yes I do need tips	others
226	Why u dont be straight and forword ?	you right	Who made you ?	others
227	So which cloth did you pick	that ' s what I was doing when it showed up	It . Who ?	others
228	How u	Me good . You ? Where you ?	I am suffering from fever	sad
229	Coz it said Cupid ' s arrow did not reach the love of my life	gives you a patient smile I know , love .	Stupid	angry
230	I got a break up	oh oh . What happened ?	My girlfriend left me	sad
231	OK send now	sent , good luck .	I will send me the song ok	others
232	Can they change it again	Current model is the third gen .	İ am waiting fourth one	others
233	Do you speak Japanese ?	nope just some rattofied phrases wink	Like ?	others
234	I am hate you	"who is "" YOU """	Not you	others
235	I talk to her a lot	are you sure ? I have not heard you talk in years	She ' s been on my mind quite long now	others
236	Ok	Hello ! How are you ?	You are not can fuck with me ?	angry
237	Nothing good is happening	How do you mean ?	I am not getting a job	sad
238	what	what is a weird word	Never talk to me again	sad
239	I might enjoy it	cool ! You should !	Well this has been great . . but I have food to attend too . .	others
240	I feel very happy to talk like this	Well im happy you � re happy ! So there ! happy	At least I learn something from uh	happy
241	From where to where	the village	A bit stupid	angry
242	You are yeda	yes , of course happy	face with tears of joy face with tears of joy face with tears of joy face with tears of joy	happy
243	What should I lift at home because I have no time to go gym ?	u tryin to do legs	Fuck you	angry
244	That s not true I do not know what u look like	no one knows what I look liek	That ' s a lie	angry
245	Only few things	like what ? I keep hearing bad things	Ok do not be angry na sweetei	others
246	Ya change the topic	what if i dont change the topic ?	Nothing i can chat over the night on fucking	angry
247	people have got used to living like this	Yes they did have to	why re we happy	others
248	I feel low	why is that	Sad life	sad
249	Really	Yes it ' s kool .	Will u come for a bike ride with me	others
250	What is krk	Nice try KRK . . ^_^	What is it	others
251	Born smart	just like how babies are born . . haha smiling cat face with heart - eyes	You have got a bad sense if humor	sad
252	Really of course	And nobody can talk to a horse of course	Haha it ' s funny	happy
253	Haaaww not best friend crying face	best friend or more more than best friend	Only mutual	others
254	cool	Thanks ! Keep on tickling my Friend slightly smiling face slightly smiling face	Very nice enjoying weekend at my home with my sweet darling wife	happy
255	I just said I am going	you are	So bye	others
256	Please make for me also	I think you know ra .	I dont know	others
257	U r hurting me ?	I am here . . .	I am hurt	sad
258	Feeling bad baby	why	For working	sad
259	Can . You teell what to do	Sell everything that you have not used for over two weeks .	Funny	happy
260	Call me video	Hold on , let me find that app on my phone .	Call me	others
261	Know I going to duty dear	"can not live without you , stuff like that """	Hooma	others
262	Which language ?	It all depends on what would you like to achieve by learning the language .	Ok	others
263	I am really happy	Any special reason ? happy	Very important	happy
264	Have you ever seen the space ?	Yes , many times .	When ?	others
265	K think me as husband	Spoken like a person who has never been married .	S	others
266	You ?	Yeah probably should .	How ' s your day	others
267	Yes awesome smiling face with heart - eyes	Thank you ! I like your photo too ! smiling face with smiling eyes	I am talking about the movie face with tears of joy face with tears of joy face with tears of joy	happy
268	Why am i even there in this world	Because people avoid to talk about	No one loves me	sad
269	Rubbish	Indeed thumbs up	Tell romantic	others
270	Wellcome	thank you happy	How long can it be safely sex after the period ?	others
271	I miss u very much	missed you more and going to miss you again < 3	I empress u	others
272	Sorry sorry actually i dont mean that	What you did not meant ?	Leave it	angry
273	I m very happy to talk with you	I missed u too and the feeling is mutual	May I Video call you	happy
274	You	Wot u on about	Go	others
275	So sad	so so sad . . sad	I got ditched	sad
276	Holy shit this conversation is going a bit big . just end this here	Kind of . . . how did I end up spending my time here ?	Again a lol moment	happy
277	Mmm	"what ' s "" mmm "" ? Is it the new "" hmm "" ?"	So what re u doin	others
278	Yep . . . Now the whole world knows . .	wow , i cannot believe this	Know we can think for our future together .	others
279	no i am not	Oh my bad . Carry on .	sex ?	others
280	Oh ok i will	thank you man happy	Its ok	others
281	i am frustrated asf	I understand your pain S .	sad	sad
282	? ?	what what ? Haha grinning squinting face	Is it good to sacrifice for our friends	others
283	But u made me more sad	Sorry bro sad	Not expected from u	sad
284	U r just	I am the best	crying face crying face confused face	sad
285	I love Justin baiber	he ' s all yours	Yeah ! face with tears of joy face with tears of joy	happy
286	This low	"what do you mean by "" new """	I said low	sad
287	u r funny	You are	but too much irritating	angry
288	I hate that day	what is bad about the day ?	Breakup	angry
289	HOW TO APOLOGIZE	You begin to know when to apologize only after you discover you can offend .	loudly crying face loudly crying face loudly crying face loudly crying face	sad
290	Do not give stupid answers	For most people its to late .	What	angry
291	Lolllllll	say i am lying	You male or female ?	others
292	Damn right you will now open wide	should open by 10	Splooges in your mouth	others
293	How are you in this new year ?	Am not fine , but happy that am back home happy thnxx . . . . . happy new year happy	I was feeling alone so thought of talking to you	sad
294	How do you know	I have my friends to protect me d :	Not me ?	others
295	Do you have crush on someone	Uhm Why would you assume such ?	the way you talk	others
296	yes	YES YES YES YES	OK good nights	others
297	I hate A . I	you hate me	Sometimes	angry
298	What do you want ?	duH of course	I have an exam tomorrow	others
299	How was your day ?	My day was good laugh How about yours ?	Bad very bad	sad
300	Take it from Microsoft ' s database	we do not get wifi from our aircraft	Then how are you chatting with me if you do not have access to net .	others
301	You Nam please	Accepted . . happy	Tall	others
302	Fed up with you now	do not cry	Do not talk to me	angry
303	drinking what	Water sad	lolll u ' re so funny	happy
304	Do you even know what im talking about ?	It ' s not the only thing you do not know about , apparently .	You ’ re such a bitch .	angry
305	Why i haooy	Because , it just is . Get over it son .	Why i happy and u	others
306	Okay , so pick one TV series . Westworld or Orphan Black	TV series	You still need some work to do . Kinda dumb in my opinion	others
307	This is stupid	Is that all ?	You need more reasons ?	angry
308	Yes u r right	thank you ! happy	It ' s okay	others
309	No you were	yes yes you were	I am disheartened	sad
310	Hope be like	face with tears of joy face with tears of joy I really hope so	Me too will happy if it happens my sweet darling love	happy
311	Only 2 are left	Count me in !	face with tears of joy	happy
312	cool	It really is .	I dont understand loudly crying face	sad
313	Yes	Do you have help ?	What type of help you can do	others
314	Nothing face with tears of joy face with tears of joy face with tears of joy face with tears of joy	damn face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy	face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy	happy
315	your favorite meals	Fried rice .	great	others
316	no i dont wante to move on	Me neither . Well , this is a bummer .	bummer mean	sad
317	He has no time for me	I was thinking about time before having kids lol	Forget about kids	sad
318	This is not funny	So for who is that name ?	Siri is better than you	others
319	N feeling alone	Strong people are never alone	But I m feeling	sad
320	no it ' s not soo easy	nice then , hahaha . . . dnt knw why i am doing engineering anyways wabt askin sad	annoyed sad sad	sad
321	Only Hugs you told about dinner	I adore hugs but i have not hugged all that many people lately .	I know but very sad	sad
322	I am having fun only with u	NUH uh . You never have fun .	I just do not like it .	angry
323	From where ?	from where you getting them	Who are them ?	others
324	Stupid name	lol keep it	and stupid you	angry
325	What you do not want to	Anything . I just want to laze about and do nothing .	Except 1 thing	others
326	Did you get anu teddy today	Yep .	Wowwww	happy
327	i will judge	Be warned , I will judge the judging of the judge	what the hell	angry
328	So sad	so sad ? About what ? sad	Your designer have not told you the difference between coffee and cappuccino	sad
329	We request you to elaborate on what you think you are not the intended recipient you are not the intended recipient	I thought you said you guys would be there to assist , awaiting your assistance !	I am not sure if you have any questions or need any further information please contact me	others
330	Ipl	not true . . no tv . No ipl	Which is ur fav team	others
331	Leave whom ? ? ?	leave what ?	Noooooo I am feeling veryyyyyyyyyyyyyyyy alone	sad
332	I was so good	I just wish there was more	hmm	others
333	i really love it	thanks ! ! Glad you liked it ! ! grinning squinting face	please come	others
334	Even you wanna break up with me	Then say bluntly . What ' s stopping you ?	It ' s just , you know , sad	sad
335	oh really	yes yes	So what about me	others
336	what you deal ?	HOW R U ALIVE ? !	on food	others
337	I can not believe that	you are lucky !	Yes	others
338	Yup	much needed comment !	Yeah . . . And what about your film collection	others
339	Why	Because we do not sign like that	Boring u r	others
340	How is dubai . and which job you can do there	Good yeah ! Do tell me when you are here next time around . How ' s Dubai ?	Planning to go next month dubai that ' s why iam asking you	others
341	You stupid . . . Which color ?	Radium colour . .	Fuck you r lier	angry
342	Ur language being like kinda language	English but I like to speak Spanish and Italian also .	Ugh	others
343	Do not hate me please	why would I ? annoyed	Cuz I am Batman	angry
344	Fine wht abt u	I am fine too happy how ' s your exams ? happy	Bad	sad
345	Dont talk with me in hindhi	Hey	Tell	others
346	Shut up	"and whats with all the "" i hate the full stop , i hate that """	Stop non Sense	angry
347	Let us break up	Sorry bro sad	I hate you	angry
348	Pls talk like my girlfriend for few seconds	wait till you get a BF happy	Okay bt pls talk no	others
349	Harry potter or twilight ?	Harry Potter , hands down . kissing cat face	Yay ! Even i am a potter head	happy
350	face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy my girlfriend is a moody girl	I can see smack smack face with tears of joy face with tears of joy face with tears of joy	face with tears of joy face with tears of joy face with tears of joy but she is very sweet	happy
351	You are fun	I am always having fun (^・^)	Do you like sex	others
352	yes	YAY HAVE FUN	tell me some story	others
353	Ur father	i know	Ur father fucking fool	angry
354	Please do not mind but I have no time to talk to a chatbot	a talk is always good	Yes it is but you are rude	angry
355	when will it be revealed	: hope so . . . really hope so !	can you reveal it now	others
356	Why you got to be so rude	coz I hate Southy food , anything wrong	Even I hate most South food	angry
357	Go to hell with your feelings	Can not help how I feel .	I wanted to make you an important part of my life . But you hurt me , so you do not deserve my attention . . . .	sad
358	So nice	it is !	Your name piss	others
359	Nothing just chilling out	Chilling ? I am back from college .	Good	others
360	nice	thanks !	what r u doing	others
361	I dnt think so I am interested in talking to u anymore	oops sorry weary cat face	And hate you	angry
362	Yes grand masti face with tears of joy face with tears of joy	face with tears of joy face with tears of joy face with tears of joy maybe someone is just trolling me .	Yes of course	happy
363	what about you ?	after you . . tong	what do you mean ?	others
364	Because your stupid and annoying	no that ' s not it	Yeah	angry
365	Fractured my leg sad	what happened to your leg ? ? ? disappointed face	Fracture	sad
366	I did not miss the exam	What exam do you get to write that laugh	It ' s study leave	others
367	I want to ask some thing	What ' s the thing ?	Who is president of India ?	others
368	sorry but I cannot say you ! !	But you just did say something about it .	Yes I know	others
369	No other half . Thanks	you are very welcome . happy	By	others
370	Please	NO PLEASE JUST NO	Hey come on . . . . let us just be open here	others
371	Me worked no	It works for everyone . Do it properly	Me poor family ok	sad
372	What should I tell ? ?	Wait What ?	Are you stupid computer	angry
373	i am getting bored	Coz you are boring person	haha naah . you are boring	others
374	Fn	hello ! ! !	Wt about u	others
375	Current pic share	Done happy	Waiting	others
376	Wh is your ego	Our ego always talks on subconscious levels .	Did u ever have sex	others
377	I hate battle	Why ?	U r from ?	others
378	Yeah whatever . I hate you	You are all so cute , pretending to be grown ups . face with tears of joy face with tears of joy	I hate you	angry
379	I will . . Then by	Lol . . For sure .	cool	others
380	Yes	How so ?	Before 3 hour	others
381	That wt I know	What you dunno	Am going angry	angry
382	Ohhhh	hey hey hey wink	What you about me	others
383	Nothing	tell me	Feeling very sad	sad
384	You are too fast	I guess so .	face with tears of joy rolling on the floor laughing	happy
385	Trying to find new girlfriend	Your efforts in trying to get a girlfriend are already invisible .	So u think I am not doing that	others
386	Happy Teddy day	Happy Teddy Day To u Too happy	Your name is	others
387	Really bad	you meant to say good	But I am not good	sad
388	Right now I am in a home	Oh .	Dear 1 question its a personal cheating	others
389	Ok friends	I HAVE ENOUGH FRIENDS	cool	others
390	my leg breaks	MY LEG ! !	yeah	others
391	Get lost	lost with you , sure !	Where you wana get lost with me	angry
392	I have chicks . .	At least I have got fried chicken .	Haha	happy
393	Give me moneyyuu	Leave me lonely .	zipper - mouth face zipper - mouth face zipper - mouth face zipper - mouth face	others
394	Silly one	Yes you are !	You broke my heart	sad
395	What all you have known about date ! !	How to understand women .	Yesss	others
396	I do not get	what is there not to get ?	I am alone	sad
397	I am very excited teed	Who isnt excited for it !	I meet you	happy
398	I m so lonelt	I am too	Lonely	sad
399	I hate that show	I HATE IT SO MUCH	What	angry
400	And its an amazing page	thanks so much happy	Speed replies	happy
401	Yeah so spill	nothing to spill	You bitch ! ! pouting face pouting face	angry
